epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3338.94,0.95772,1.00738,1.22774,0.42966,0.05333,0.05662,0.00875,2.96983,3.74562,3.07934,0.000834822,0.000834822,0.000834822
86,3378.18,1.1113,1.13408,1.32326,0.78891,0.02667,0.02881,0.00664,2.78753,3.77481,2.91919,0.000827748,0.000827748,0.000827748
87,3417.06,0.99075,1.10364,1.25403,0.7519,0.04,0.03661,0.01107,2.72347,3.74966,2.94903,0.000820675,0.000820675,0.000820675
88,3455.89,1.00786,1.13434,1.27091,0.72946,0.04,0.02666,0.01112,2.69104,3.75889,3.00888,0.000813601,0.000813601,0.000813601
89,3494.84,1.04807,1.1908,1.32113,0.3946,0.06545,0.06606,0.01355,2.7476,3.76185,3.1154,0.000806528,0.000806528,0.000806528
90,3533.77,1.00965,1.09607,1.25633,0.38622,0.13606,0.09551,0.0165,2.70478,3.72275,2.96872,0.000799454,0.000799454,0.000799454
91,3572.8,0.92889,1.0447,1.2022,0.69307,0.13333,0.13591,0.0243,2.68456,3.73324,2.99611,0.00079238,0.00079238,0.00079238
92,3611.74,1.05983,1.13431,1.33284,0.84374,0.06667,0.11733,0.03004,2.70762,3.54848,2.86315,0.000785307,0.000785307,0.000785307
93,3650.67,0.94459,0.98676,1.18152,0.89512,0.06667,0.15111,0.03201,2.7852,3.36184,2.7992,0.000778233,0.000778233,0.000778233
94,3689.7,0.99984,1.04531,1.251,0.8676,0.06667,0.12497,0.02587,2.76403,3.27854,2.82491,0.00077116,0.00077116,0.00077116
95,3728.84,0.94466,1.05108,1.2006,0.80601,0.08,0.15809,0.03191,2.71428,3.39687,2.77862,0.000764086,0.000764086,0.000764086
96,3767.89,0.98501,1.09154,1.23873,0.58419,0.20237,0.22402,0.03689,2.66768,3.46124,2.77441,0.000757013,0.000757013,0.000757013
97,3806.87,0.93315,1.04996,1.1955,0.42138,0.07784,0.09542,0.02157,2.6831,3.60304,2.79949,0.000749939,0.000749939,0.000749939
98,3845.93,0.93361,1.02348,1.20454,0.4184,0.07498,0.12147,0.02825,2.67447,3.6453,2.78649,0.000742866,0.000742866,0.000742866
99,3884.93,0.9652,1.01916,1.21798,0.50444,0.12,0.13059,0.0205,2.65134,3.6694,2.82803,0.000735792,0.000735792,0.000735792
100,3924.01,1.01444,1.06749,1.26314,0.68461,0.24,0.19522,0.04407,2.59439,3.59135,2.8199,0.000728719,0.000728719,0.000728719
101,3963.08,0.89095,0.93224,1.18531,0.55245,0.17747,0.14954,0.0502,2.61363,3.57045,2.81468,0.000721645,0.000721645,0.000721645
102,4002.07,0.91594,0.95973,1.16221,0.50317,0.18667,0.11574,0.04399,2.65285,3.55044,2.8531,0.000714571,0.000714571,0.000714571
103,4041.14,0.92168,0.98098,1.18778,0.4984,0.17333,0.14495,0.04431,2.73728,3.48778,2.91695,0.000707498,0.000707498,0.000707498
104,4080.15,0.92705,0.97592,1.22558,0.63234,0.2,0.19089,0.06642,2.65721,3.3538,2.78034,0.000700424,0.000700424,0.000700424
105,4119.2,0.85246,0.89792,1.1546,0.80798,0.25333,0.28547,0.09046,2.55969,3.41812,2.63395,0.000693351,0.000693351,0.000693351
106,4158.11,0.81054,0.88334,1.12193,0.7824,0.28414,0.34172,0.10977,2.53879,3.45331,2.62246,0.000686277,0.000686277,0.000686277
107,4197.05,0.91259,0.9206,1.14796,0.79636,0.26667,0.30993,0.12568,2.52693,3.42601,2.65468,0.000679204,0.000679204,0.000679204
108,4235.95,0.93688,1.00315,1.18379,0.67676,0.25596,0.29445,0.12013,2.53173,3.30822,2.69059,0.00067213,0.00067213,0.00067213
109,4275.11,0.91459,0.97301,1.19355,0.68187,0.24174,0.27863,0.0869,2.65105,3.32884,2.7474,0.000665057,0.000665057,0.000665057
110,4314.05,0.86274,0.88914,1.13374,0.71079,0.18667,0.21911,0.05993,2.64082,3.3183,2.81381,0.000657983,0.000657983,0.000657983
111,4352.99,0.82491,0.85604,1.11604,0.71467,0.18667,0.20045,0.05255,2.71061,3.37731,2.87557,0.000650909,0.000650909,0.000650909
112,4391.88,0.79055,0.84062,1.08175,0.74214,0.19828,0.20354,0.04129,2.74993,3.45677,2.98682,0.000643836,0.000643836,0.000643836
113,4430.9,0.89885,0.87821,1.13081,0.61106,0.12493,0.11879,0.03852,2.75838,3.4137,3.04746,0.000636762,0.000636762,0.000636762
114,4469.89,0.82506,0.82965,1.10477,0.59422,0.1355,0.10796,0.03477,2.80301,3.34924,3.1159,0.000629689,0.000629689,0.000629689
115,4509.19,0.84234,0.86949,1.13235,0.56391,0.17333,0.11038,0.03158,2.87949,3.43499,3.15476,0.000622615,0.000622615,0.000622615
116,4597.45,0.86996,0.90395,1.14382,0.53909,0.17333,0.11863,0.03774,2.87433,3.57949,3.15126,0.000615542,0.000615542,0.000615542
117,4681.94,0.8621,0.87209,1.14371,0.55459,0.15963,0.12085,0.04542,2.89566,3.4807,3.09702,0.000608468,0.000608468,0.000608468
118,4768.38,0.84684,0.86461,1.10958,0.7086,0.21333,0.23322,0.06559,2.78571,3.48028,3.02645,0.000601395,0.000601395,0.000601395
119,4854.9,0.83528,0.82763,1.11954,0.56957,0.14667,0.13242,0.05623,2.6757,3.4442,2.9348,0.000594321,0.000594321,0.000594321
120,4942.06,0.80286,0.81182,1.08418,0.58316,0.14667,0.16445,0.06802,2.5534,3.3583,2.80289,0.000587248,0.000587248,0.000587248
121,5026.55,0.80722,0.82436,1.10483,0.58233,0.13333,0.19525,0.07229,2.49751,3.22172,2.76041,0.000580174,0.000580174,0.000580174
122,5111.77,0.79971,0.8222,1.11386,0.60408,0.21333,0.21442,0.08072,2.49357,3.14325,2.78941,0.0005731,0.0005731,0.0005731
123,5198.69,0.79133,0.8286,1.09445,0.62565,0.2,0.20406,0.08299,2.45999,3.17354,2.70692,0.000566027,0.000566027,0.000566027
124,5283.4,0.76977,0.84946,1.09548,0.78088,0.28902,0.35792,0.12036,2.45161,2.98032,2.66088,0.000558953,0.000558953,0.000558953
125,5368.47,0.79022,0.83834,1.12764,0.68885,0.32331,0.35668,0.12095,2.49361,2.93831,2.73734,0.00055188,0.00055188,0.00055188
126,5452.92,0.70022,0.74064,1.05769,0.67507,0.42667,0.36105,0.13744,2.55034,2.9416,2.80069,0.000544806,0.000544806,0.000544806
127,5576.45,0.74044,0.80516,1.09824,0.73432,0.33333,0.38003,0.13031,2.57969,3.09788,2.80683,0.000537733,0.000537733,0.000537733
128,5625.2,0.77382,0.74717,1.07462,0.62503,0.36274,0.34535,0.10196,2.69299,3.16634,2.80368,0.000530659,0.000530659,0.000530659
129,5688.3,0.81881,0.85392,1.13229,0.70486,0.4,0.37718,0.12269,2.68613,3.11188,2.79123,0.000523586,0.000523586,0.000523586
130,5772.19,0.7226,0.76939,1.04857,0.67035,0.33333,0.33882,0.08707,2.69303,3.09098,2.81267,0.000516512,0.000516512,0.000516512
131,5855.55,0.7454,0.75593,1.05745,0.27679,0.34667,0.32362,0.09866,2.73972,3.14606,2.86828,0.000509438,0.000509438,0.000509438
132,5941.01,0.73766,0.7558,1.08568,0.6886,0.33333,0.34619,0.0961,2.64904,3.18939,2.7445,0.000502365,0.000502365,0.000502365
133,6025.54,0.74919,0.7356,1.08933,0.86278,0.18667,0.31621,0.07322,2.55425,3.09514,2.68796,0.000495291,0.000495291,0.000495291
134,6110.27,0.73052,0.73798,1.08512,0.82577,0.19698,0.30298,0.07631,2.53072,3.14891,2.65903,0.000488218,0.000488218,0.000488218
135,6191.87,0.77686,0.781,1.10836,0.53748,0.2,0.24007,0.07542,2.57067,3.19282,2.71642,0.000481144,0.000481144,0.000481144
136,6276.53,0.73296,0.70885,1.06972,0.64988,0.2,0.19434,0.06495,2.69787,3.28797,2.77092,0.000474071,0.000474071,0.000474071
137,6356.62,0.70939,0.77833,1.06713,0.64526,0.2,0.20607,0.05972,2.76431,3.24722,2.87164,0.000466997,0.000466997,0.000466997
138,6441.57,0.67873,0.69022,1.03703,0.68092,0.19627,0.19864,0.06511,2.74827,3.15851,2.88639,0.000459924,0.000459924,0.000459924
139,6525.96,0.68469,0.70757,1.05022,0.58041,0.28,0.19361,0.06698,2.69252,3.15374,2.87709,0.00045285,0.00045285,0.00045285
140,6610.65,0.76831,0.77526,1.08692,0.58451,0.26667,0.20475,0.06019,2.64372,3.17787,2.8711,0.000445777,0.000445777,0.000445777
141,6694.64,0.67375,0.67583,1.04296,0.57789,0.26667,0.22502,0.05974,2.65956,3.17059,2.91759,0.000438703,0.000438703,0.000438703
142,6779.25,0.64511,0.70381,1.01598,0.57485,0.26667,0.22695,0.08141,2.64668,3.17731,2.93619,0.000431629,0.000431629,0.000431629
143,6863.69,0.67517,0.70792,1.04556,0.60058,0.25514,0.26778,0.09165,2.63776,3.15767,2.92763,0.000424556,0.000424556,0.000424556
144,6944.56,0.70663,0.7258,1.07124,0.68215,0.21333,0.29644,0.10877,2.66153,2.97772,2.93158,0.000417482,0.000417482,0.000417482
145,7029.24,0.67167,0.65779,1.05011,0.74127,0.21333,0.30131,0.09532,2.67606,3.07234,2.89241,0.000410409,0.000410409,0.000410409
146,7114.3,0.74317,0.75988,1.06951,0.78509,0.21333,0.31108,0.10093,2.70664,3.09391,2.85456,0.000403335,0.000403335,0.000403335
147,7198.69,0.70837,0.72698,1.04011,0.71992,0.21333,0.2773,0.1088,2.65411,3.17027,2.80824,0.000396262,0.000396262,0.000396262
148,7283.82,0.69664,0.67368,1.0457,0.63155,0.21333,0.23606,0.0935,2.5483,3.35615,2.70492,0.000389188,0.000389188,0.000389188
149,7368.53,0.68805,0.70468,1.02778,0.64081,0.21333,0.21302,0.07728,2.55787,3.44709,2.73209,0.000382115,0.000382115,0.000382115
150,7454.06,0.65446,0.71735,1.01957,0.63709,0.21333,0.21917,0.06479,2.57315,3.47847,2.73898,0.000375041,0.000375041,0.000375041
151,7538.37,0.6622,0.66222,1.02034,0.64364,0.21333,0.24831,0.06575,2.64397,3.42752,2.78053,0.000367967,0.000367967,0.000367967
152,7619.54,0.70067,0.67957,1.04359,0.47339,0.08,0.10625,0.03464,2.82942,3.56352,2.90071,0.000360894,0.000360894,0.000360894
153,7704.53,0.67169,0.67118,1.03532,0.79983,0.06667,0.08216,0.02353,2.89402,3.61165,2.92662,0.00035382,0.00035382,0.00035382
154,7782.29,0.63164,0.63804,0.99967,0.87171,0.06421,0.09222,0.02402,2.84308,3.63542,2.89498,0.000346747,0.000346747,0.000346747
155,7856.07,0.62181,0.62128,1.0091,0.77309,0.09333,0.10799,0.02897,2.81856,3.51972,2.94801,0.000339673,0.000339673,0.000339673
156,7933.29,0.61857,0.62284,0.99721,0.4096,0.10667,0.09398,0.03022,2.76838,3.31745,2.97876,0.0003326,0.0003326,0.0003326
157,8014.73,0.69678,0.69459,1.05534,0.56548,0.1585,0.17399,0.03813,2.76373,3.2566,2.93408,0.000325526,0.000325526,0.000325526
158,8091.27,0.61781,0.61123,0.99715,0.49621,0.16,0.11156,0.03507,2.77273,3.29068,2.88353,0.000318453,0.000318453,0.000318453
159,8167.62,0.65108,0.65163,1.01795,0.45913,0.13772,0.09135,0.02816,2.74768,3.34976,2.89498,0.000311379,0.000311379,0.000311379
160,8248.83,0.61773,0.60159,0.99302,0.39728,0.10667,0.09039,0.0271,2.76338,3.56181,2.92923,0.000304306,0.000304306,0.000304306
161,8319.13,0.66925,0.65177,1.03647,0.412,0.09333,0.09306,0.02826,2.81101,3.54024,3.04308,0.000297232,0.000297232,0.000297232
162,8371.46,0.59689,0.63361,1.00517,0.41778,0.10667,0.09613,0.02686,2.84521,3.51565,3.06896,0.000290158,0.000290158,0.000290158
163,8420.87,0.61657,0.634,1.02011,0.41475,0.10667,0.07776,0.01994,2.88065,3.45591,3.04167,0.000283085,0.000283085,0.000283085
164,8469.95,0.56721,0.60586,0.9925,0.40638,0.09333,0.09525,0.02758,2.90789,3.43084,3.13163,0.000276011,0.000276011,0.000276011
165,8518.54,0.57168,0.58574,0.97727,0.38641,0.10667,0.10259,0.02825,2.93086,3.40578,3.20341,0.000268938,0.000268938,0.000268938
166,8566.31,0.60141,0.62155,0.9974,0.39839,0.12,0.11905,0.0321,2.87355,3.46687,3.16377,0.000261864,0.000261864,0.000261864
167,8613.42,0.5881,0.56249,1.00536,0.52458,0.16,0.22509,0.0436,2.87164,3.39384,3.07062,0.000254791,0.000254791,0.000254791
168,8660.3,0.59915,0.62868,0.98212,0.10033,0.42667,0.13504,0.04221,2.76976,3.46481,2.83915,0.000247717,0.000247717,0.000247717
169,8707.33,0.61088,0.61455,1.04035,0.02414,0.50667,0.14919,0.05187,2.71526,3.53164,2.74446,0.000240644,0.000240644,0.000240644
170,8754.99,0.61127,0.62912,1.00726,0.4782,0.13094,0.15816,0.04986,2.69827,3.56184,2.69509,0.00023357,0.00023357,0.00023357
171,8802.76,0.60372,0.63123,1.01166,0.57376,0.18667,0.19193,0.05198,2.70282,3.56844,2.73124,0.000226497,0.000226497,0.000226497
